s_no,company,ctc,ece,cse,eee,it,mech,prod,civil,chem,bio,mca,mcse,mece,meee,mcad,mciv,mba,total
1,IBM (INTERNSHIP),3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,2
2,"GE - ES, INDIA (INTERNSHIP)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,NA,1
3,MICROSOFT (FTE),10.2,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
4,MICROSOFT (INTERNSHIP),3,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
5,GOOGLE,2.8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
6,JP MORGAN CHASE,6.5,NA,1,NA,8,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,9
7,CTS,3.35,76,79,34,35,37,25,28,35,24,21,5,7,3,1,0,NA,410
8,INFOSYS,3.25,41,44,16,18,24,14,14,7,13,4,0,0,0,1,0,NA,196
9,CAPITAL IQ,5.8,NA,1,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,1
10,WIPRO,3.25,53,41,16,10,11,16,16,14,11,6,1,6,2,2,NA,NA,205
11,ACCENTURE,3,9,7,0,9,6,3,3,1,5,1,NA,NA,NA,NA,NA,NA,44
12,CAPGEMINI,3.05,4,9,6,4,5,0,1,5,1,1,0,0,1,0,0,NA,37
13,MAQ,4.15,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
14,CSC,3.3,4,5,NA,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,15
15,CYBAGE,3,2,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
16,DELOITTE,4.65,4,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
17,INFOTECH,3,0,0,1,0,0,1,NA,NA,NA,NA,0,0,0,0,NA,NA,2
18,INTERGRAPH,3.5,1,4,1,0,0,NA,0,NA,NA,0,0,0,0,0,NA,NA,6
19,FMC TECHNOLOGIES,5.8,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
20,ITC LTD,5.6,NA,NA,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
21,PEGA SYSTEMS,6,4,3,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
22,iGATE,2.7,3,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6
23,MEGHA ENGINEERING & INFRASTRUCTURES LTD.,1.44,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
24,GMR,3.5,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
25,L& T (ECC) LTD,4.5,NA,NA,2,NA,7,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
