s_no,company,ctc,ece,cse,eee,it,mech,prod,civil,chem,bio,mca,mcse,mece,meee,mcad,mciv,mba,total
26,ADP,3.65,1,3,1,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,5
27,BAJAJ FINANCE SERVICE LTD,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
28,ICICI SECURITIES,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7
29,L & T IES,2.4,5,NA,1,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
30,MAHINDRA & MAHINDRA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1
31,AAS TECHNOLOGIES,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,2,1,1,NA,7,14
32,NETRIPPLES,3.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,15,15
33,KARUR VYSYA BANK,4.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
34,TATA ADVANCED SYSTEMS,3,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
35,CII-Sohrabji Godrej Green Business Centre,2.5,NA,NA,NA,NA,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
36,SYNTEL INC,2.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,1
37,IGATE PATNI,2.7,1,0,0,2,0,1,0,NA,NA,1,0,0,0,0,0,0,5
38,PIAGGIO,2.4,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
39,HDFC STANDARD LIFE INSURANCE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
40,HUSYS,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
41,BHARATH ELECTRONICS LIMITED,6,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
42,HYDERABAD INDUSTRIES LTD,5.6,NA,NA,0,NA,2,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,3
43,BANK OF AMERICA,3,1,2,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
44,ANAND AUTOMOTIVE LTD,4.15,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
45,WELLS FARGO,5,7,7,1,3,1,0,0,2,0,0,0,0,0,0,0,0,21
46,IBM TECH SUPPORT,3.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
47,AMAZON,4.2,NA,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
48,IDEA CELLULAR,4.25,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
49,CSC FOR MBA-FINANCE,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
50,FL SMIDTH PVT LTD,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
51,ASAIN PAINTS,5,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
52,CSC FOR MBA - FINANCE,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
53,CADEPLOY,1.2,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
54,24x7 HEADHUNTING,1.8,0,2,0,0,0,0,0,NA,NA,2,NA,NA,NA,NA,NA,6,10
55,HINDUSTAN UNILEVER,5.3,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
56,SMS COUNTRY,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
57,IDEAL INDUSTRIAL EXPLOSIVE LTD.,1.2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3
