s_no,company,ctc,ece,cse,eee,it,mech,prod,civil,chem,bio,mca,mcse,mcnis,mece,mvs,meee,mcad,mth,mciv,mba,total
1,HDFC AMC MBA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
2,ITC,8.0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
3,Aurobindo Pharma Limited,3.6,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
4,KoffeMedia Nuronics,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,2,0,NA,NA,NA,NA,NA,7
5,Kore.ai,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2
6,Darwinbox,8.4,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
7,Accolite Software Pvt Ltd,8.0,NA,5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
8,Microsoft,41.0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
9,JPMorgan Chase & Co.,14.0,NA,29,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
10,EPAM Ltd,6.0,0,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
11,"Magnitude Software Ind Pvt.Ltd,",7.7,NA,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
12,Deloitte USI,7.6,16,27,5,23,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,71
13,Oracle,9.5,NA,8,NA,5,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,13
14,Hyundai Mobis R&D,4.5,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
15,Factset,8.9,0,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
16,Jaro Education,12.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,Byju's,10.0,1,3,0,0,2,1,1,1,0,NA,0,0,0,0,0,0,0,0,1,10
18,HackWithInfy  Infosys SEP,5.0,2,3,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,6
19,Loyalty Juggernaut India P Ltd,7.5,NA,0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
20,Delhivery,8.0,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
21,NCR Corporation,7.0,0,7,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
22,Just Dial,3.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,8
23,TCS NQT Ninja,3.6,42,26,9,29,3,2,1,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,116
24,Larsen Toubro Infotech (LTI),5.5,41,41,9,21,3,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116
25,Larsen Toubro Infotech (LTI),6.5,4,5,1,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
26,Dr Reddy's Lab,3.5,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
27,Cognizant,4.0,29,17,11,15,17,1,5,2,0,0,1,0,0,0,0,0,0,0,NA,98
28,Infosys INFYTQ,4.0,46,29,31,22,36,2,13,7,3,4,3,0,0,0,0,0,0,0,NA,196
29,TechnipFMC Technologies Ltd,6.0,NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
30,Next Education,5.0,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
31,Deloitte USI Tax,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5
32,Accenture Freshers Minds pool,4.5,56,21,10,27,23,6,10,4,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,173
33,Hexagon Capability Centre,5.5,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
34,IBM,4.7,1,2,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
35,MicronTechnology,7.5,14,20,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
36,Hitachi Consulting,6.5,NA,1,NA,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,1
37,VEDA IIT,3.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
38,Volante Software Pvt Ltd,4.5,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
39,Hindustan Unilever,7.0,NA,NA,0,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
40,Cultfit,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
41,ITC,8.0,NA,NA,0,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
42,Sales Force Com Pvt Ltd,11.9,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
43,ZF Technologies,4.3,5,1,2,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
44,Unistring Tech Solutions (UTS),3.0,9,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,9
45,S2Tech Com India Pvt Ltd MBA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
46,Verizon,5.5,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
47,Gingerboard pool,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
48,JK Technosoft,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
49,Invesco Hack2Hire pool,12.0,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
50,Modak Analytics,5.0,0,14,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
51,Google,10.5,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
52,Godrej & Boyce Mfg Co,5.5,NA,NA,NA,NA,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
53,Kotak Life Insurance,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6
54,Value Labs MBA pool,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
55,MRF Ltd,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
56,TCS pool,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
57,Invesco  Pvt Ltd MBA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
58,Raam Group MBA,3.8,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,2
59,IBM (Off Campus),4.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
60,Berkadia,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18
61,Prudent Lighting Solutions pool,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
62,KSR Eyecare Pvt Ltd pool,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
63,Reliance Jio Infocomm Limited,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12
64,Arohan MBA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
65,Merilytics Core,4.6,NA,NA,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
66,Dyson Technology India Pvt Ltd,5.1,0,0,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9
67,Sai Life Sciences,3.0,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
68,Blue Star Limited   pool,5.6,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
69,Campus Marg Consulting P Ltd,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
70,Modak Analytics Off Campus,4.5,NA,6,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
71,Hyundai Motors Pvt Ltd,8.0,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
72,Lido Learning,3.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
73,Microchip,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
74,SarvHR MBA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
75,Diagnostic BioSystems (DBS),4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
76,R2 Seeds Pvt Ltd pool,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
77,Invesco Pvt Ltd MBA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5
78,Tata Advanced Systems P Ltd,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
79,EA Games India (P) Ltd,12.2,NA,2,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
80,JK Paper Mills Ltd,3.8,NA,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
81,Ford Motors Pvt Ltd,5.5,0,3,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
82,Aurobindo Pharma Limited,3.6,NA,NA,NA,NA,0,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
83,"Cognizant ""NEXT""",6.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
84,Orient Cement (Girls),4.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
85,Wiley,7.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
86,Ryan India Tax Ser Pvt Ltd,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6
87,Cognizant CIS off Campus,4.0,1,0,0,0,2,0,1,1,3,0,1,0,0,0,0,0,0,0,NA,9
88,Accelerize360,6.0,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
89,Massmutual off,5.0,NA,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
