s_no,company,ctc,ece,cse,eee,it,mech,prod,civil,chem,bio,mca,mcse,mcnis,mece,mvs,meee,mcad,mth,mciv,mba,total
1,GE Corporation Consultant Internship M.E,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,2
2,HIL Limited,4.5,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
3,"GE Appliances, Haier, non-GE",6.4,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
4,UBER,3.7,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3
5,ServiceNow,9.8,NA,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
6,Deloitte Internship (CSE & IT),0.3,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
7,ICICI MBA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
8,NEULAND,3.5,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
9,Multiplier solutions,6.0,2,6,0,0,1,2,4,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
10,Dr.Reddy Labs,6.5,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
11,Synactive India Pvt Ltd,6.0,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
12,Aurobindo Pharma (Chemical),3.6,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
13,ORACLE Poole,9.0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
14,Medha Servo Drives Pvt. Ltd,3.0,1,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
15,iB Hubs internship,3.0,0,9,1,3,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
16,Inspirage,4.8,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
17,Electronics Arts Games (EA),9.9,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
