s_no,company,ctc,ece,cse,eee,it,mech,prod,civil,chem,bio,mca,mcse,mcnis,mece,mvs,meee,mcad,mth,mciv,mba,total
18,BEL (Bharat Electronics Limited),8.6,4,1,NA,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
19,Ramky Enviro Engineers Limited,2.4,NA,NA,NA,NA,5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9
20,CoreCompete (iphigroup),4.2,5,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
21,Orient cement,4.0,NA,NA,2,NA,2,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
22,Spyry Technology (Internship),3.0,1,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
23,Avaya India Pvt Ltd Internship,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,NA,NA,1
24,Bajaj Allianz MBA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6
25,Aarvee Associates,3.5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2
26,ORACLE Poole,6,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
27,Bosch Limited,4.0,NA,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
28,Hyundai Motor India Engineering,3.5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
29,CPF (India) Pvt Ltd,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8
30,CA Technology,1.5,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
31,Dr.Reddy Labs,6.5,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
32,Byju's,7.0,3,2,0,0,3,0,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
33,Netcracker Technology,5.5,3,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
34,BEL (Bharat Electronics Limited),8.6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
35,Microsoft Codess (Internship),5.4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
36,TCS Internship (pool),1.2,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
37,Defteam Solutions Pvt.Ltd,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,1
38,RDC Concrete,3.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
39,JPMC Code for Good,6.5,NA,15,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
40,Accolite,10.0,NA,0,NA,1,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,1
41,Oracle GBU,9.5,0,2,0,2,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,4
42,Deloitte,6.2,11,13,3,6,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,33
43,Next Education Solutions,7.0,3,5,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
44,CoreCompete,7.0,0,3,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
45,Deloitte,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
46,OYO,10.5,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
47,Mroads,7.0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
48,ServiceNow,10.9,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
49,CA Technology,6.0,NA,7,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
50,CoreComplete,7.0,NA,0,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
51,Infosys,3.3,32,44,10,17,16,2,6,1,2,0,1,1,NA ,NA ,NA,NA ,NA,NA,NA,132
52,Accenture,3.5,101,54,34,25,35,14,23,6,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,303
53,NCR Corporation,5.5,8,7,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
54,Technipfmc,5.7,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
55,Wipro,3.3,12,13,4,9,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39
56,Capgemini,3.2,16,5,1,3,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
57,Mindtree Ltd Pool,3.3,7,1,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
58,"GE Appliances, a Haier",6.4,NA,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
59,Intellect Design Arena,5.0,NA,8,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
60,Intellect Design Arena (Internship),2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
61,DBS Asia Hub 2,10.0,NA,12,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
62,EZE Software,6.0,NA,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
63,Microsoft (Internship),5.4,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
64,Franklin Templeton (MBA),3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15
65,AMD India Pvt Ltd (Internship),3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2
66,Karvy Stock Broking,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10
67,Microsoft IGD,10.8,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
68,MRF Ltd (MBA),4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
69,ITC Ltd,8.5,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
70,IVY Comptech,7.0,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
71,Bank of America,4.3,6,12,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
72,ICICI Securities MBA Pool,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6
73,HIL,5.5,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
74,"Cognizant ""Next""",6.5,1,3,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
75,HSBC Kotak Life Insurance (pool),7.0,NA ,1,NA,1,NA,NA,NA,NA ,NA ,NA,NA,NA,NA,NA,NA,NA ,NA,NA,NA ,2
76,Kotak Life Insurance (pool),6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6
77,Capital First Limited,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
78,Godrej Boyce & Mfg Co Ltd,4.0,NA,NA,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
79,Tata Projects,4.0,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
80,Orient cement,4.0,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
81,Franklin Templeton,4.8,0,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
82,KPIT Technologies Ltd,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,NA,NA,NA,NA,2
83,Hetero Drugs,2.0,NA,4,NA,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
84,DXC Technologies,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
85,Dr.Reddy Labs,4.0,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
86,Ramco Cements MBA,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
87,Byju's,9.0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0,1,0,0,1,9
88,IndiaMART InterMESH Ltd.,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
89,ITC Ltd MBA,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
90,XSEED Education,11.0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
91,Darwinbox,4.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
92,DATAWISE,3.5,NA,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
93,Sai Life Sciences,3.0,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
94,Hexagon Capability Center India Pvt. Ltd.,5.0,NA,3,NA,0,1,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,4
