s_no,company,ctc,ece,cse,eee,it,mech,prod,civil,chem,bio,mca,mcse,mece,meee,mcad,mciv,mba,total
1,TATA ADVANCE SYSTEMS,3.2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
2,SABMILLER,3,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
3,MAHINDRA SATYAM,3,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
4,"GE - ES, INDIA (INTERNSHIP)",1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,NA,NA,6
5,HYUNDAI MOTOR INDIA ENGINEERING (R & D),2.5,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
6,BONAVEN SOFTWARE PVT.LTD.,3.5,0,2,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3
7,HEAD STRONG,4.5,0,2,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,4
8,JMC PROJECTS (INDIA) LTD.,2.88,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
9,BIO GENEX,3,NA,NA,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
10,NALCO,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
11,FACTSET FOR MBA,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
12,CAPITAL IQ,5.8,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
13,"GE - ES, INDIA (INTERNSHIP)",1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
14,BSCPL,3,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
15,ITC,5.4,NA,NA,1,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
16,MAQ SOFTWARE,4.15,NA,5,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,5
17,MAHINDRA SATYAM,3.5,NA,NA,1,NA,0,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4
18,SUBEX,4.5,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
19,FACTSET,6,1,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
20,L & T,4.2,NA,NA,1,NA,4,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
21,MICROSOFT,8.5,NA,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
22,BE BILLIMORIA CO.LTD.,3.25,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,0,NA,4
23,MAHINDRA & MAHINDRA,4.32,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
24,CTS,3.25,84,83,30,32,33,26,23,20,31,12,5,4,2,1,0,NA,386
25,INFOSYS,3.25,56,49,19,20,12,11,10,4,7,0,0,0,2,1,0,NA,191
26,WIPRO,3.25,11,13,3,6,2,5,5,3,2,4,1,0,0,0,0,NA,55
27,DELOITTE,4.5,9,8,1,6,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,24
28,HCL TECHNOLOGIES,3.5,3,12,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
29,CAPGEMINI,3.15,10,22,8,10,11,5,5,8,3,1,2,0,1,1,0,0,87
30,ADP,3.65,2,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
31,CYBAGE,3,1,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
32,HEAD STRONG,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2
33,L & T METRO RAIL,3.3,NA,NA,1,NA,2,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
34,IDEA CELLULAR LTD.,4.25,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
35,ACCENTURE (OFF CAMPUS),3,17,14,5,12,6,7,2,2,2,2,NA,NA,NA,NA,NA,NA,69
36,PATNI COMPUTERS (UG),3.25,3,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
36,PATNI COMPUTERS (PG),3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,0,NA,NA,NA,5
37,GODREJ BOYCE,3,1,0,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
38,SYNTEL INC,2.8,2,4,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,6
39,BANK OF AMERICA,3,6,4,4,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,14
40,FMC TECHNOLOGIES,5.1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
41,SONATA SOFTWARE LTD.,4.6,2,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
