s_no,company,ctc,ece,cse,eee,it,mech,prod,civil,chem,bio,mca,mcse,mece,meee,mcad,mciv,mba,total
42,INTERGRAPH,3.3,3,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
43,NAGARJUNA CONSTRUCTION COMPANY LIMITED,2,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
44,iGATE,2.7,2,4,1,2,2,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,14
45,KMC CONSTRUCTIONS LTD.,2,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
46,HSBC,4,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
47,ERICSSON,4.5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
48,INFOTECH,2.7,0,0,0,0,0,0,NA,NA,NA,NA,0,1,NA,NA,NA,NA,1
49,L & T INFOTECH,3.25,0,0,0,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2
50,QUEST GLOBAL,2.8,NA,NA,NA,NA,3,6,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,9
51,COMPUTER SCIENCE CORPORATION,3.5,0,2,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,6
52,VIRTUSA,3,1,0,0,0,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3
53,SAP LABS,6.5,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
54,HYDERABAD INDUSTRIES LTD.,5.85,NA,NA,1,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2
55,HYUNDAI MOTOR INDIA ENGINEERING (R & D),2.5,NA,NA,NA,NA,6,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,10
56,BGR ENERGY,3,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2
57,SIEMENS LTD.,4.25,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
58,COCUBES,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
59,INDIAN OIL TANKING,3.15,NA,NA,NA,NA,0,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,13
60,PIAGGIO VEHICLES PVT. LTD.,3.5,NA,NA,NA,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1
61,RAMKY,2.4,NA,NA,NA,NA,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,4
62,DUPONT SERVICES CENTRE,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
63,MARKET TOOLS REASEARCH PVT. LTD.,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
