s_no,company,ppo,ctc,ecd,cse,eee,it,mech,prod,civil,chem,bio,mca,mcse,maid,mece,mvs,mpp,mcad,mth,mstr,mba,total
44,Advance Auto Parts,26000,9.0,NA,7,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
45,HCL Technologies Ltd,18000,5.5,11,2,9,1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
46,HCL Technologies Ltd,18000,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2
47,Skolar PG,15000,8.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,0,0,0,0,0,2
48,Skolar UG,15000,6.0,6,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
49,TCS Ninja,,4.0,16,6,13,10,7,2,7,1,4,15,0,1,0,0,0,0,0,0,0,82
50,TCS Ninja,,3.5,5,1,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13
51,XIT Solutions,,5.0,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
52,Cognizant Genc Pro Special Skill Role,,6.8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2
53,Mu Sigma,,7.5,7,6,7,1,5,0,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
54,alliantgroup,,5.5,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8
55,Tata Advanced Systems Ltd,,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
56,L&T Technology Services Ltd (LTTS),,4.0,7,3,4,2,2,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,18
57,Veritas Prime Labs India Pvt Ltd,,7.5,NA,2,NA,0,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,3
58,Pegasystems,,16.0,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
