s_no,company,ctc,ece,cse,eee,it,mech,prod,civil,chem,bio,mca,mcse,mece,meee,mcad,mciv,mba,total
24,DELL ENGINEERING SERVICESES,3,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
25,VERIZON,3.5,1,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,3
26,CA TECHNOLOGIES,5,2,2,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7
27,DELOITTE (DSA),4.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2
28,LIC - LIFE PLUS,1.8,4,2,2,6,1,2,4,8,3,9,1,5,2,0,0,33,82
29,L & T CONSTRUCTION,4.5,0,NA,4,NA,3,NA,9,0,NA,NA,NA,NA,0,0,0,NA,16
30,ORIENT CEMENTS LTD.,3.75,NA,NA,1,NA,2,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,11
31,UNITED SPIRITS,4.5,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3
32,PEGA SYSTEMS,7,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
33,BRITISH PAINTS,2.75,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
34,BANK OF AMERICA,3.5,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
35,KOTAK SECURITIES LTD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10
36,TIBCO SOFTWARE,5,NA,4,NA,2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,6
37,MEGH ENGINEERING INFRASTRUCTURE LTD,3.1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
38,PROCESS MAP,3.2,NA,2,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,2
39,VERITY KNOWLEDGE SOLUTIONS PVT. LTD.,3.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
40,COGNIZANT,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
41,HDFC LIFE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9
42,WELLS FARGO,5,2,2,0,0,2,0,2,5,NA,NA,NA,NA,NA,NA,NA,NA,13
43,ICICI SECURITIES,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
44,HARVEST FUTURES CONSULTANTS,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12
45,NETCRACKER,4.5,3,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
46,MEDHA SERVO DRIVE,3,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
47,ASTER,B.D. - 5.0 & Trainee-3.0,0,1,,2,,3,,4,,5,,6,,7,,8,
48,INUIT,3,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,0,NA,1
49,SAMSUNG,3.5,9,4,1,4,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,20
50,FACE,6.1,0,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
51, MOLDTEK TECHNOLOGIES,1.8,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
52,EUREKA FORBES,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
