s_no,company,ctc,ece,cse,eee,it,mech,prod,civil,chem,bio,mca,mcse,mece,meee,mcad,mciv,mba,total
1,ORACLE (ITERNSHIP),1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
2,ROBERT BOSCH,3.5,13,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
3,MAHINDRA & MAHINDRA,5.1,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
4,GOOGLE,5.7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
5,ITCLTD,5.6,NA,NA,0,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
6,DELOITTE,4.6,4,13,2,6,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,27
7,GE HOME AND BUSINESS SOLUTIONS(INTERNSHIP),1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2
8,MICROSOFT (MSIT),10.5,NA,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
9,MICROSOFT (INTERNSHIP),3,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
10,JP MORGAN CHASE,5,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
11,COGNIZANT,3.35,50,54,18,21,17,21,14,20,15,13,5,2,2,0,NA,NA,252
12,FMC TECHNOLOGIES,6,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
13,INFOSYS,3.25,30,18,7,5,9,9,4,4,9,2,NA,1,NA,NA,NA,NA,98
14,WIPRO,3.25,45,39,17,10,10,1,6,8,6,6,NA,NA,NA,NA,NA,NA,148
15,GE-ENERGY (INTERNSHIP),2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,3
16,CAPGEMINI,3.05,4,9,1,1,2,6,4,3,2,1,1,0,0,0,0,NA,34
17,CAPITAL IQ,5,NA,6,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,6
18,CADEPLOY,1.2,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
19,NET. ORANGE TECHNOLOGIES PVT LTD,4,NA,3,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,3
20,HCL TECHNOLOGIES,3.5,2,3,0,6,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,12
21,DELL,3,NA,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
22,INTERGRAPH,3.5,1,1,0,1,2,1,1,NA,NA,NA,0,0,0,0,0,NA,7
23,csc,3.27,3,5,0,8,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,16
