s_no,company,ppo,ctc,cse,it,ece,eee,mech,prod,civil,chem,bio,mca,mcse,maid,mece,mvs,mpp,mcad,mth,mstr,mba,total
54,State Street,30000,8.5,2,1,3,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
55,TechnipFMC,,7.0,NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
56,DE Shaw Group,,21.5,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
57,Deloitte Cyber Security Role,,7.6,2,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
58,Samsung Semiconductor,50000,21.0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,1
59,DBS ASIA Hub2,,10.8,20,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
60,Incture,,7.3,4,3,2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
61,Quantra (Pokarna),20000,6.0,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
62,Deloitte Tax (MBA),,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11
63,XIT Solutions,10000,4.0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
64,SmartServe,25000,9.7,0,0,0,0,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
65,Mindtree High (CTC),,6.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1
66,Mindtree High (CTC),,5.0,1,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,NA,7
67,SmartSOCS,,6.0,NA,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,1
68,VEDA IIT,,3.5,NA,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
69,Franklin Templeton,,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13
70,Acmegrade Info,18000,6.0,2,3,3,2,10,2,6,NA,NA,5,0,0,0,0,0,0,0,0,2,35
71,Khumbu Systems,25000,7.0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
72,MAQ Software,36000,10.0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
73,CloudAngles,,5.0,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
74,HSBC Technology India,,9.0,2,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
75,Future First,25000,12.9,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
76,Berkadia UG,,8.5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
77,Kreet Technologies Pvt Ltd,,6.3,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
78,RACEnergy (Role1),,8.0,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2
79,Searce,15000,6.5,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
80,Eleation,Free,4.2,NA,NA,NA,NA,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
81,Demandbase,25000,9.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
82,PWC India Acceleration Center,35000,6.0,2,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
83,Dr.Reddys Laboratories,18000,3.5,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
84,Quest Global,,3.3,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
85,RACEnergy (Role2),,6.0,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2
86,Broadridge,30000,10.0,0,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
87,Signion Systems,15000,7.0,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
