s_no,company,ctc,bio,chem,civil,cse,ece,eee,it,mech,prod,mca,mcse,mcnis,mece,mvs,meee,mcad,mth,mciv,mba,total,
83,ICICI Bank MBA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,
84,GENPACT MBA,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
85,Sirpur Paper Mills,3.3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,
86,AtoS Syntel,3.1,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
87,OPPO R&D Center,3.0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,
88,Ninjacart pool MBA,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,
89,HDFC AMC MBA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,
90,"EA Games (srinidhhi,
osmania)",11.0,NA,NA,NA,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,
91,Mech Zone Solutions,3.0,2,2,7,1,2,1,3,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,
92,"Frontier Business Systems
MBA",3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,
93,Cyient,3.3,NA,NA,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
94,"Kotak Mahindra Bank Ltd
MBA",4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
95,Aarvee Associates,3.6,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,
96,Hitachi Consulting,6.5,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
97,"Tecnicas Reunidas
Engineers
India Pvt Ltd",2.8,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
98,Water Health,4.5,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
99,Medha Servo Drives Pvt Ltd.,3.5,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,
